OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,Join_Count_12,TARGET_FID_12,Join_Count_12_13,TARGET_FID_12_13,样点编号,用途,乡镇名称,样点地价,最近路距,Id,面积,评价,作用分,级别,区域,名称,功能分,规划用途,开发程度,等级,Id_1,规划用途_1,面积_1,开发程度_1,折现年份,设定功能分,贴现系数,折现分数,等级_1,分类,主要区域,作用半径,OBJECTID_1,服务半径,ET_ID,容积率,用地类型,ET_Gaps,Id_12,道路名称,道路类型,长度,交通量预测,住宅道路类,商业道路类,工业道路类,住宅功能分,商业功能分,工业功能分,等级_12,作用半径_1,功能分_1,按城镇类型,按商业分,按住宅分,按工业分,商业指数,住宅指数,工业指数,道路服务水,道路长度,道路宽度,人行道宽,Id_12_13,作用分_1,作用半径_12,名称_1,级别_1,站点名称,功能分_12,作用分值,医院名称,等级_12_13,序号,医院名称_1,位置,所在区域（,占地面积（,建筑面积（,开办性质,等级_12_13_14,医院类型,医护人员数,有职称人员,科室数,病床数,年均门诊人,年均住院数,学校名称,办学类型_1,城乡类型,坐落,班级数_1,学生人数_1,教职工数,占地面积_1,教室（间_1,银行名称,窗口数,POINT_X,POINT_Y,TBBH,DLBM,DLMC,QSXZ,ZLDWDM,ZLDWMC,TBMJ,TBDLMJ,XZDWKD,CZCSXM,SJNF,BZ,SHAPE_Leng,xzdm,RuleID,分类_1,用途_1,区片,级别价,控规用途,容积率_1,距商服范围,距市场距离,距车站距离,距银行距离,距学校距离,距医疗距离,距文娱距离,商服评价,市场评价,车站评价,银行评价,学校评价,医疗评价,文娱评价,编号,级别价评估,区片价评估,测算容积率,评估用途,面积_公顷
1,5,1,1,1,0,1,0,1,z1,住宅用地,横州镇,4351,16.89054822,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,112466.82,现状,0,80,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630043.01,2510527.234,613,0701,城镇住宅用地,20,4501271000090000000,横州,45220.87838,45202.02,0,202,2019,102030,1277.854479,450127100,18,建设用地,住宅用地,J102,2558,城镇住宅用地,1.5-2.5,10,200,550,50,50,300,150,优,优,一般,优,优,较优,优,B4020,2460,2558,2.5,城镇住宅用地,4.52208784
2,5,2,1,2,0,2,0,2,z2,住宅用地,横州镇,4351,15.02247522,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,112466.82,现状,0,80,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630039.18,2510503.76,613,0701,城镇住宅用地,20,4501271000090000000,横州,45220.87838,45202.02,0,202,2019,102030,1277.854479,450127100,18,建设用地,住宅用地,J102,2558,城镇住宅用地,1.5-2.5,10,200,550,50,50,300,150,优,优,一般,优,优,较优,优,B4020,2460,2558,2.5,城镇住宅用地,4.52208784
3,5,3,1,3,0,3,0,3,z3,住宅用地,横州镇,4793,10.45190183,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,112466.82,现状,0,80,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630059.21,2510453.77,644,0701,城镇住宅用地,20,4501271000090000000,横州,21857.06232,21847.91,0,202,2019, ,1358.997301,450127100,18,建设用地,住宅用地,J104,2243,城镇住宅用地,1.5-2.5,50,450,750,50,100,400,350,优,较优,较劣,优,优,较优,较优,B4001,2460,2243,2.5,城镇住宅用地,2.18570623
4,4,4,1,4,0,4,0,4,z4,住宅用地,横州镇,4890,9.745925298,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630001.93,2510331.653,613,0701,城镇住宅用地,20,4501271000090000000,横州,45220.87838,45202.02,0,202,2019,102030,1277.854479,450127100,18,建设用地,住宅用地,J102,2558,城镇住宅用地,1.5-2.5,10,200,550,50,50,300,150,优,优,一般,优,优,较优,优,B4020,2460,2558,2.5,城镇住宅用地,4.52208784
5,5,5,1,5,0,5,0,5,z5,住宅用地,横州镇,4987,20.38438845,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,112466.82,现状,0,80,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630054.58,2510395.213,633,0701,城镇住宅用地,20,4501271000090000000,横州,3150.781178,3149.46,0,202,2019,102030,348.1911613,450127100,18,建设用地,住宅用地,J104,2243,城镇住宅用地,1.5-2.5,50,350,700,10,50,500,350,优,较优,较劣,优,优,较优,较优,B3957,2460,2243,2.5,城镇住宅用地,0.31507812
6,4,6,1,6,0,6,0,6,z6,住宅用地,横州镇,4739,12.30419683,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629978.59,2510245.242,605,0701,城镇住宅用地,20,4501271000090000000,横州,32345.36662,32331.89,0,202,2019,102030,1445.544822,450127100,18,建设用地,住宅用地,J103,2388,城镇住宅用地,1.5-2.5,10,150,550,10,50,350,200,优,优,一般,优,优,较优,优,B3930,2460,2388,2.5,城镇住宅用地,2.47718767
7,4,7,1,7,0,7,0,7,z7,住宅用地,横州镇,4448,13.85344494,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629971.75,2510219.209,605,0701,城镇住宅用地,20,4501271000090000000,横州,32345.36662,32331.89,0,202,2019,102030,1445.544822,450127100,18,建设用地,住宅用地,J103,2388,城镇住宅用地,1.5-2.5,10,150,550,10,50,350,200,优,优,一般,优,优,较优,优,B3930,2460,2388,2.5,城镇住宅用地,2.47718767
8,4,8,1,8,0,8,0,8,z8,住宅用地,横州镇,4157,12.81167651,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629942.02,2510091.069,605,0701,城镇住宅用地,20,4501271000090000000,横州,32345.36662,32331.89,0,202,2019,102030,1445.544822,450127100,18,建设用地,住宅用地,J103,2388,商业服务业设施用地,3.5-4.5,10,300,600,50,0,0,0,优,优,较优,优, , , ,B8346,3990,4200,4.5,商业服务业设施用地,0.29416635
9,5,9,1,9,0,9,0,9,z10,住宅用地,横州镇,5079,4.675421731,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,16354.83,现状,0,60,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629581.62,2510315.374,571,0701,城镇住宅用地,20,4501271000090000000,横州,20133.22008,20124.87,0,202,2019,102030,1032.837699,450127100,18,建设用地,住宅用地,J102,2558,商业服务业设施用地,4.5-7.5,10,50,250,0,0,0,0,优,优,优,优, , , ,B3951,3990,4200,7.5,商业服务业设施用地,2.01332201
10,5,10,1,10,0,10,0,10,z9,住宅用地,横州镇,5176,11.75156939,0,3693166.9,,100,1,,旧城片区,100,行政办公用地,现状,1,0,行政办公用地,90163.43,现状,0,70,1,40,1,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629356.09,2510297.542,534,05H1,商业服务业设施用地,20,4501271000090000000,横州,3350.048996,3348.66,0,202,2019, ,244.7037966,450127100,15,建设用地,商服用地,S101,4200,城镇住宅用地,3.5-4.5,100,300,50,250,500,300,100,优,较优,优,较优,较优,较优,优,B3921,2460,2695,4.5,城镇住宅用地,0.27371184
11,5,11,1,11,0,11,0,11,z11,住宅用地,横州镇,5273,4.716829129,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,16354.83,现状,0,60,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629622.48,2510310.855,571,0701,城镇住宅用地,20,4501271000090000000,横州,20133.22008,20124.87,0,202,2019,102030,1032.837699,450127100,18,建设用地,住宅用地,J102,2558,商业服务业设施用地,4.5-7.5,10,50,250,0,0,0,0,优,优,优,优, , , ,B3951,3990,4200,7.5,商业服务业设施用地,2.01332201
12,3,12,1,12,0,12,0,12,z12,住宅用地,横州镇,5370,9.330498475,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629698.72,2510277.267,577,0701,城镇住宅用地,20,4501271000090000000,横州,14686.66821,14680.57,0,202,2019,102030,625.1631994,450127100,18,建设用地,住宅用地,J103,2388,城镇住宅用地,1.5-2.5,10,10,300,50,250,200,50,优,优,较优,优,优,优,优,B3914,2460,2388,2.5,城镇住宅用地,1.46866682
13,3,13,1,13,0,13,0,13,z13,住宅用地,横州镇,5176,9.768028497,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629773.7,2510269.545,577,0701,城镇住宅用地,20,4501271000090000000,横州,14686.66821,14680.57,0,202,2019,102030,625.1631994,450127100,18,建设用地,住宅用地,J103,2388,城镇住宅用地,1.5-2.5,10,10,300,50,250,200,50,优,优,较优,优,优,优,优,B3914,2460,2388,2.5,城镇住宅用地,1.46866682
14,3,14,1,14,0,14,0,14,z14,住宅用地,横州镇,3619,8.62116521,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629829.61,2510043.856,580,0701,城镇住宅用地,20,4501271000090000000,横州,20179.54346,20171.16,0,202,2019,102041,1276.547677,450127100,18,建设用地,住宅用地,J103,2388, , ,10,140,390,10,120,430,190,优,优,优,优,优,优,优,B3853,2460,2388,0,城镇住宅用地,1.6661061
15,3,15,1,15,0,15,0,15,z15,住宅用地,横州镇,3910,11.12818997,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629597.27,2510066.983,580,0701,城镇住宅用地,20,4501271000090000000,横州,20179.54346,20171.16,0,202,2019,102041,1276.547677,450127100,18,建设用地,住宅用地,J103,2388, , ,10,140,390,10,120,430,190,优,优,优,优,优,优,优,B3853,2460,2388,0,城镇住宅用地,1.6661061
16,3,16,1,16,0,16,0,16,z16,住宅用地,横州镇,3910,7.951034974,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629848.65,2510041.702,580,0701,城镇住宅用地,20,4501271000090000000,横州,20179.54346,20171.16,0,202,2019,102041,1276.547677,450127100,18,建设用地,住宅用地,J103,2388, , ,10,140,390,10,120,430,190,优,优,优,优,优,优,优,B3853,2460,2388,0,城镇住宅用地,1.6661061
17,3,17,1,17,0,17,0,17,z17,住宅用地,横州镇,3813,9.255283678,0,3693166.9,,100,1,,旧城片区,100,,,1,,,,,,,,,,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36629881.21,2510035.791,580,0701,城镇住宅用地,20,4501271000090000000,横州,20179.54346,20171.16,0,202,2019,102041,1276.547677,450127100,18,建设用地,住宅用地,J103,2388, ,1.5-2.5,10,210,660,20,70,600,480,优,较优,较优,优,优,优,较优,B8380,2460,2388,2.5,城镇住宅用地,0.16264307
18,4,18,1,18,0,18,0,18,z18,住宅用地,横州镇,3996,8.863840008,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,112466.82,现状,0,80,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630288.08,2510486.961,644,0701,城镇住宅用地,20,4501271000090000000,横州,21857.06232,21847.91,0,202,2019, ,1358.997301,450127100,18,建设用地,住宅用地,J104,2243,城镇住宅用地,1.5-2.5,50,450,750,50,100,400,350,优,较优,较劣,优,优,较优,较优,B4001,2460,2243,2.5,城镇住宅用地,2.18570623
19,4,19,1,19,0,19,0,19,z19,住宅用地,横州镇,4190,10.53146518,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,112466.82,现状,0,80,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630266.77,2510492.084,644,0701,城镇住宅用地,20,4501271000090000000,横州,21857.06232,21847.91,0,202,2019, ,1358.997301,450127100,18,建设用地,住宅用地,J104,2243,城镇住宅用地,1.5-2.5,50,450,750,50,100,400,350,优,较优,较劣,优,优,较优,较优,B4001,2460,2243,2.5,城镇住宅用地,2.18570623
20,5,20,1,20,0,20,0,20,z20,住宅用地,横州镇,4158,18.79805936,0,3693166.9,,100,1,,旧城片区,100,商业金融用地,现状,2,0,商业金融用地,112466.82,现状,0,80,1,60,2,大气环境二类质量区,主要城区中心、大竹、候塘、建政、江南半岛、蒙垌、茉,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36630137,2510525.296,644,0701,城镇住宅用地,20,4501271000090000000,横州,21857.06232,21847.91,0,202,2019, ,1358.997301,450127100,18,建设用地,住宅用地,J104,2243,城镇住宅用地,1.5-2.5,50,450,750,50,100,400,350,优,较优,较劣,优,优,较优,较优,B4001,2460,2243,2.5,城镇住宅用地,2.18570623
