样点地价,级别,功能分,等级,面积_1,折现年份,设定功能分,贴现系数,等级_1,级别价,距车站距离,级别价评估,区片价评估,测算容积率,用途_E,乡镇名称_E,名称_E,规划用途_E,开发程度_E,规划用途_1_E,开发程度_1_E,分类_E,主要区域_E,DLBM_E,DLMC_E,ZLDWMC_E,BZ_E,用途_1_E,区片_E,容积率_1_E,商服评价_E,市场评价_E,车站评价_E,银行评价_E,文娱评价_E,评估用途_E
4351.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,2558.00,550.00,2460.00,2558.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
4351.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,2558.00,550.00,2460.00,2558.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
4793.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,2243.00,750.00,2460.00,2243.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,39.00,31.00,7.00,6.00,3.00,9.00,7.00,15.00
4890.00,1.00,100.00,1.00,243920.07,8.05,74.80,0.62,0.28,2558.00,550.00,2460.00,2558.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
4987.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,2243.00,700.00,2460.00,2243.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,39.00,31.00,7.00,6.00,3.00,9.00,7.00,15.00
4739.00,1.00,100.00,1.00,219211.75,8.05,75.00,0.62,0.28,2388.00,550.00,2460.00,2388.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
4448.00,1.00,100.00,1.00,219681.14,8.05,75.00,0.62,0.28,2388.00,550.00,2460.00,2388.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,31.00,7.00,7.00,6.00,9.00,8.00,15.00
4157.00,1.00,100.00,1.00,204558.58,8.05,74.10,0.62,0.28,2388.00,600.00,3990.00,4200.00,4.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,32.00,7.00,7.00,5.00,9.00,2.00,13.00
5079.00,1.00,100.00,2.00,16354.83,0.00,60.00,1.00,2.00,2558.00,250.00,3990.00,4200.00,7.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,33.00,7.00,7.00,7.00,9.00,2.00,13.00
5176.00,1.00,100.00,1.00,90163.43,0.00,70.00,1.00,1.00,4200.00,50.00,2460.00,2695.00,4.50,5.00,18.00,7.00,26.00,14.00,26.00,14.00,3.00,4.00,12.00,12.00,65.00,2.00,4.00,46.00,32.00,7.00,6.00,7.00,7.00,8.00,15.00
5273.00,1.00,100.00,2.00,16354.83,0.00,60.00,1.00,2.00,2558.00,250.00,3990.00,4200.00,7.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,43.00,33.00,7.00,7.00,7.00,9.00,2.00,13.00
5370.00,1.00,100.00,1.00,224970.14,8.05,65.30,0.62,0.28,2388.00,300.00,2460.00,2388.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,31.00,7.00,7.00,5.00,9.00,8.00,15.00
5176.00,1.00,100.00,1.00,225804.38,8.05,65.30,0.62,0.28,2388.00,300.00,2460.00,2388.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,42.00,31.00,7.00,7.00,5.00,9.00,8.00,15.00
3619.00,1.00,100.00,1.00,229501.46,8.05,65.20,0.62,0.28,2388.00,390.00,2460.00,2388.00,0.00,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,5.00,5.00,42.00,21.00,7.00,7.00,7.00,9.00,8.00,15.00
3910.00,1.00,100.00,1.00,231469.10,8.05,65.00,0.62,0.28,2388.00,390.00,2460.00,2388.00,0.00,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,5.00,5.00,42.00,21.00,7.00,7.00,7.00,9.00,8.00,15.00
3910.00,1.00,100.00,1.00,231469.10,8.05,65.00,0.62,0.28,2388.00,390.00,2460.00,2388.00,0.00,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,5.00,5.00,42.00,21.00,7.00,7.00,7.00,9.00,8.00,15.00
3813.00,1.00,100.00,1.00,239140.74,8.05,66.70,0.62,0.28,2388.00,660.00,2460.00,2388.00,2.50,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,5.00,5.00,42.00,31.00,7.00,6.00,5.00,9.00,7.00,15.00
3996.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,2243.00,750.00,2460.00,2243.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,39.00,31.00,7.00,6.00,3.00,9.00,7.00,15.00
4190.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,2243.00,750.00,2460.00,2243.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,39.00,31.00,7.00,6.00,3.00,9.00,7.00,15.00
4158.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,2243.00,750.00,2460.00,2243.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,39.00,31.00,7.00,6.00,3.00,9.00,7.00,15.00
3964.00,1.00,100.00,2.00,112466.82,0.00,80.00,1.00,2.00,2243.00,750.00,2460.00,2243.00,2.50,5.00,18.00,7.00,25.00,14.00,25.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,39.00,31.00,7.00,6.00,3.00,9.00,7.00,15.00
