,缺失比率
所在区域（,100.00
占地面积（,100.00
医院名称_1,100.00
序号,100.00
等级_12_13,100.00
医院名称,100.00
作用分值,100.00
功能分_12,100.00
站点名称,100.00
级别_1,100.00
名称_1,100.00
作用半径_12,100.00
作用分_1,100.00
人行道宽,100.00
道路宽度,100.00
道路长度,100.00
道路服务水,100.00
工业指数,100.00
住宅指数,100.00
位置,100.00
建筑面积（,100.00
窗口数,100.00
开办性质,100.00
教室（间_1,100.00
占地面积_1,100.00
教职工数,100.00
学生人数_1,100.00
班级数_1,100.00
坐落,100.00
城乡类型,100.00
办学类型_1,100.00
学校名称,100.00
年均住院数,100.00
年均门诊人,100.00
病床数,100.00
科室数,100.00
有职称人员,100.00
医护人员数,100.00
医院类型,100.00
等级_12_13_14,100.00
商业指数,100.00
按工业分,100.00
按住宅分,100.00
住宅道路类,100.00
作用半径,100.00
按商业分,100.00
容积率,100.00
用地类型,100.00
ET_Gaps,100.00
道路名称,100.00
道路类型,100.00
长度,100.00
交通量预测,100.00
服务半径,100.00
商业道路类,100.00
作用半径_1,100.00
工业道路类,100.00
按城镇类型,100.00
功能分_1,100.00
银行名称,100.00
等级_12,100.00
工业功能分,100.00
商业功能分,100.00
住宅功能分,100.00
评价,98.97
区域,98.97
规划用途,70.77
开发程度,70.77
规划用途_1,70.77
面积_1,70.77
开发程度_1,70.77
折现年份,70.77
设定功能分,70.77
折现分数,70.77
等级_1,70.77
贴现系数,70.77
分类,59.71
主要区域,59.65
作用分,58.35
名称,58.30
级别,58.30
功能分,57.75
等级,57.27
面积,56.29
TBBH,5.97
车站评价,5.97
距车站距离,5.97
距银行距离,5.97
距学校距离,5.97
距医疗距离,5.97
距文娱距离,5.97
商服评价,5.97
市场评价,5.97
银行评价,5.97
距商服范围,5.97
学校评价,5.97
医疗评价,5.97
文娱评价,5.97
级别价评估,5.97
区片价评估,5.97
测算容积率,5.97
评估用途,5.97
距市场距离,5.97
容积率_1,5.97
DLBM,5.97
CZCSXM,5.97
DLMC,5.97
QSXZ,5.97
ZLDWDM,5.97
ZLDWMC,5.97
TBMJ,5.97
TBDLMJ,5.97
XZDWKD,5.97
SJNF,5.97
控规用途,5.97
BZ,5.97
SHAPE_Leng,5.97
xzdm,5.97
分类_1,5.97
用途_1,5.97
区片,5.97
级别价,5.97
面积_公顷,5.97
